name,source,gender,wikidata,type
"29. augusta",wikidata,,Q163780,relation
"8. mája",wikidata,,Q270706,relation
Agátová,wikidata,,Q472943,relation
Albánska,wikidata,,Q222,relation
Alejová,wikidata,,Q207934,relation
Amarelková,wikidata,,Q155848,relation
Americká,wikidata,,Q828,relation
"Americké námestie",wikidata,,Q30,relation
Amurská,wikidata,,Q6862,way
Anenská,wikidata,,Q666578,way
Anízová,wikidata,,Q28692,relation
Antolská,wikidata,,Q249613,relation
Arménska,wikidata,,Q399,relation
Astronomická,wikidata,,Q11063,relation
Avarská,wikidata,,Q68962,relation
Azalková,wikidata,,Q5986917,relation
Azovská,wikidata,,Q35000,way
Bajkalská,wikidata,,Q5513,relation
Balkánska,wikidata,,Q23522,relation+way
Banskobystrická,wikidata,,Q144983,relation
Baštová,wikidata,,Q81839,way
Bazalková,wikidata,,Q38859,relation
Bazová,wikidata,,Q131448,relation
Bebravská,wikidata,,Q791716,way
Beskydská,wikidata,,Q215573,relation
Betliarska,wikidata,,Q2630404,relation
Beňadická,wikidata,,Q1008238,relation
Biela,wikidata,,Q23444,way
Bieloruská,wikidata,,Q184,relation
Biskupická,wikidata,,Q683983,relation
Blatnická,wikidata,,Q784917,relation
Bleduľová,wikidata,,Q161530,relation
Blumentálska,wikidata,,Q1239947,relation
Bobuľová,wikidata,,Q13184,way
Bodliaková,wikidata,,Q926838,way
Bodvianska,wikidata,,Q524569,way
Bojnická,wikidata,,Q788753,relation
Bôrik,wikidata,,Q20893956,relation+way
Borinská,wikidata,,Q893598,relation
Borovicová,wikidata,,Q12024,way
Bradlianska,wikidata,,Q897067,relation
Brančská,wikidata,,Q793344,relation
Brestová,wikidata,,Q131113,relation
Brezová,wikidata,,Q25243,relation
Brnianska,wikidata,,Q14960,relation
Broskyňová,wikidata,,Q13189,way
Brusnicová,wikidata,,Q5079636,way
Budatínska,wikidata,,Q1804836;Q851291,relation
Buková,wikidata,,Q25403,way
Bukureštská,wikidata,,Q19660,way
Bulharská,wikidata,,Q133255,relation
Bystrická,wikidata,,Q246755,relation+way
Bzovícka,wikidata,,Q848731,relation
Břeclavská,wikidata,,Q581478,way
"Cesta na Červený most",wikidata,,Q28793285,relation
Charkovská,wikidata,,Q42308,way
Chorvátska,wikidata,,Q224,relation
Cintorínska,wikidata,,Q39614,relation
Cukrová,wikidata,,Q11002,way
Cyrilova,wikidata,,Q239925,way
"Daliborovo námestie",wikidata,,Q855839,relation+way
Dargovská,wikidata,,Q902056,relation
Desiata,wikidata,,Q23806,relation
Deviata,wikidata,,Q19108,way
"Devínska cesta",wikidata,,Q661046,relation+way
Domašská,wikidata,,Q1192056,way
Drevená,wikidata,,Q287,relation
Drieňová,wikidata,,Q158642,relation
"Drotárska cesta",wikidata,,Q338221,relation
Druhá,wikidata,,Q200,way
Dubnická,wikidata,,Q481528,relation
Dubová,wikidata,,Q12004,relation
Dunajská,wikidata,,Q1653,relation
Egrešová,wikidata,,Q41503,way
Estónska,wikidata,,Q191,relation
Fazuľová,wikidata,,Q310438,relation
"Fialkové údolie",wikidata,,Q108684,relation
Fikusová,wikidata,,Q59798,relation
"Františkánske námestie",wikidata,,Q1450292,relation+way
Gerulatská,wikidata,,Q1309632,relation
Goralská,wikidata,,Q498700,way
Haburská,wikidata,,Q584931,relation
"Hadia cesta",wikidata,,Q2102,relation
Handlovská,wikidata,,Q842011,relation
Harmanecká,wikidata,,Q662883,way
Herlianska,wikidata,,Q550565,relation
Hnilecká,wikidata,,Q743746,way
Hodonínska,wikidata,,Q321778,relation
Holíčska,wikidata,,Q653326,relation
Hospodárska,wikidata,,Q159810,way
Hradná,wikidata,,Q830976,relation
"Hradné údolie",wikidata,,Q593311,relation
Hraničná,wikidata,,Q133346,relation+way
Hriňovská,wikidata,,Q846431,relation
Hronská,wikidata,,Q213230,relation
"Humenské námestie",wikidata,,Q502264,relation+way
Hutnícka,wikidata,,Q19724861,relation
Ihličnatá,wikidata,,Q132825,relation
Ílová,wikidata,,Q42302,way
Imelová,wikidata,,Q144940,way
Inovecká,wikidata,,Q2153837,way
Ipeľská,wikidata,,Q748872,relation
Iskerníková,wikidata,,Q145869,relation
Istrijská,wikidata,,Q639912,relation
Jalovcová,wikidata,,Q26325,way
Jantárová,wikidata,,Q25381,relation
"Jantárová cesta",wikidata,,Q239574,relation
Jarná,wikidata,,Q1312,way
Jaseňová,wikidata,,Q128887,relation
"Jaskový rad",wikidata,,Q44377,relation
Jasovská,wikidata,,Q719586,relation
Javorová,wikidata,,Q42292,relation
Jazerná,wikidata,,Q23397,way
Jačmenná,wikidata,,Q518044,relation
Jedľová,wikidata,,Q25350,relation
Jelenia,wikidata,,Q122431,relation
Júlová,wikidata,,Q121,way
Junácka,wikidata,,Q7541920,relation
Júnová,wikidata,,Q120,way
"K lomu",wikidata,,Q188040,relation
"K Železnej studienke",wikidata,,Q3492846,relation
"Kamenné námestie",wikidata,,Q22731,relation
Kamilková,wikidata,,Q28437,way
Kapitulská,wikidata,,Q237306,relation
Kapucínska,wikidata,,Q124862,way
Kapušianska,wikidata,,Q1095718,way
Karloveská,wikidata,,Q1012707,relation
Karpatská,wikidata,,Q1288,relation
Kaukazská,wikidata,,Q251290,relation
Kazanská,wikidata,,Q900,relation
"Kežmarské námestie",wikidata,,Q327977,relation+way
Klariská,wikidata,,Q733658,relation
Komárňanská,wikidata,,Q210796,relation
Konventná,wikidata,,Q1128397,relation
Kopčianska,wikidata,,Q12030202,relation
Košická,wikidata,,Q25409,relation
Kosodrevinová,wikidata,,Q147475,relation
Kostolná,wikidata,,Q16970,way
Kozia,wikidata,,Q2934,relation
Krajná,wikidata,,Q12772954,relation
Krakovská,wikidata,,Q31487,way
Krásna,wikidata,,Q7242,relation
Krásnohorská,wikidata,,Q592319,relation
Krátka,wikidata,,Q36253,way
"Kráľovské údolie",wikidata,,Q12097,relation
Kremencová,wikidata,,Q237883,relation
Kremeľská,wikidata,,Q133274,relation
Kremnická,wikidata,,Q754776,relation
Kríková,wikidata,,Q42295,way
Krížna,wikidata,,Q1789547,relation
Krokusová,wikidata,,Q157806,way
Krupinská,wikidata,,Q756667,way
Kubínska,wikidata,,Q589309,way
Kuklovská,wikidata,,Q1070270,relation
Kúkoľová,wikidata,,Q147852,way
Kuneradská,wikidata,,Q211973,way
Kúpeľná,wikidata,,Q12770014,relation+way
Kvetná,wikidata,,Q506,relation
Kyjevská,wikidata,,Q1899,relation
Kysucká,wikidata,,Q1776264,relation
"Lamačská cesta",wikidata,,Q787303,relation+way
Latorická,wikidata,,Q603664,relation
Legionárska,wikidata,,Q605324,relation
Leknová,wikidata,,Q146628,relation
Lesnícka,wikidata,,Q38112,way
Levanduľová,wikidata,,Q171892,way
Levárska,wikidata,,Q780356,relation
Levočská,wikidata,,Q242478,relation
Lietavská,wikidata,,Q248735,relation
Likavská,wikidata,,Q1012967,way
Limbová,wikidata,,Q147278,relation
Lipová,wikidata,,Q127849,way
Lodná,wikidata,,Q11446,way
Lotyšská,wikidata,,Q211,way
